service_date,route_id,direction_id,half_trip_id,stop_id,time_point_id,time_point_order,point_type,standard_type,scheduled,actual,scheduled_headway,headway,fromFile,day,stop_name,delay_mins
2021-11-04,64,Inbound,53490693,1214,oaksq,1,Startpoint,Schedule,1900-01-01T05:21:00Z,1900-01-01T05:22:01Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Faneuil St @ Oak Square,1.02
2021-11-04,64,Inbound,53490693,1110,union,2,Midpoint,Schedule,1900-01-01T05:31:00Z,1900-01-01T05:30:57Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,N Beacon St @ Cambridge St,-0.05
2021-11-04,64,Inbound,53490693,1116,alrmp,3,Midpoint,Schedule,1900-01-01T05:39:00Z,1900-01-01T05:35:18Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Cambridge St @ Mass Pike Exit,-3.7
2021-11-04,64,Inbound,53490693,1059,cntsq,4,Midpoint,Schedule,1900-01-01T05:45:00Z,1900-01-01T05:38:23Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,River St @ Green St,-6.62
2021-11-04,64,Inbound,53490701,1214,oaksq,1,Startpoint,Schedule,1900-01-01T05:49:00Z,1900-01-01T05:49:10Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Faneuil St @ Oak Square,0.17
2021-11-04,64,Inbound,53490701,1110,union,2,Midpoint,Schedule,1900-01-01T05:59:00Z,1900-01-01T06:00:58Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,N Beacon St @ Cambridge St,1.97
2021-11-04,64,Inbound,53490693,2231,kndl,5,Endpoint,Schedule,1900-01-01T05:59:00Z,1900-01-01T05:46:59Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Main St @ Kendall Station - Red Line,-12.02
2021-11-04,64,Inbound,53490701,1116,alrmp,3,Midpoint,Schedule,1900-01-01T06:07:00Z,1900-01-01T06:07:23Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Cambridge St @ Mass Pike Exit,0.38
2021-11-04,64,Inbound,53490701,1059,cntsq,4,Midpoint,Schedule,1900-01-01T06:13:00Z,1900-01-01T06:09:50Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,River St @ Green St,-3.17
2021-11-04,64,Inbound,53490709,1214,oaksq,1,Startpoint,Schedule,1900-01-01T06:18:00Z,1900-01-01T06:16:06Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Faneuil St @ Oak Square,-1.9
2021-11-04,64,Inbound,53490701,2231,kndl,5,Endpoint,Schedule,1900-01-01T06:27:00Z,1900-01-01T06:14:55Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,Main St @ Kendall Station - Red Line,-12.08
2021-11-04,64,Inbound,53490709,1110,union,2,Midpoint,Schedule,1900-01-01T06:28:00Z,1900-01-01T06:30:32Z,,,bus/MBTA-Bus-Arrival-Departure-Times_2021-11.csv,4,N Beacon St @ Cambridge St,2.53
